EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
20.437,7.771,7.769,6.226,1.004,-4.968,-3.594,-3.462,-0.078,0.972,-0.244,-0.580,0.244,0.275,60.000,26865.000,1.000
20.620,6.004,7.637,9.101,1.585,-5.103,-3.931,-2.607,-0.077,0.972,-0.244,-0.397,0.244,0.305,60.000,26866.000,1.000
20.860,4.348,7.119,10.826,2.131,-4.628,-4.944,-1.838,-0.079,0.971,-0.246,-0.153,0.305,0.183,60.000,26867.000,1.000
22.965,4.636,8.523,13.372,3.276,-4.077,-5.083,-1.037,-0.080,0.975,-0.243,0.061,0.305,0.275,60.000,26868.000,1.000
26.415,6.373,11.557,16.509,4.595,-4.456,-4.487,-0.315,-0.082,0.978,-0.243,0.122,0.275,0.183,60.000,26869.000,1.000
28.802,7.276,13.539,17.945,5.165,-5.992,-4.745,0.329,-0.083,0.979,-0.241,0.183,0.336,0.122,60.000,26870.000,1.000
28.759,6.230,12.841,16.643,4.888,-7.616,-6.309,1.183,-0.083,0.978,-0.242,0.214,0.275,0.153,60.000,26871.000,1.000
27.487,4.757,10.975,14.618,4.758,-7.884,-7.237,2.470,-0.083,0.973,-0.240,0.275,0.214,0.244,60.000,26872.000,1.000
26.801,5.050,10.476,14.479,5.646,-6.285,-5.265,3.916,-0.083,0.968,-0.243,0.336,0.061,0.366,60.000,26873.000,1.000
26.371,7.056,11.370,15.854,7.089,-3.618,-0.767,4.776,-0.088,0.966,-0.244,0.519,0.122,0.458,60.000,26874.000,1.000
24.044,8.471,11.098,15.707,7.717,-1.175,3.307,4.403,-0.088,0.965,-0.243,0.763,0.031,0.336,60.000,26875.000,1.000
19.018,7.731,8.125,12.415,6.946,0.360,4.672,2.990,-0.089,0.968,-0.244,1.007,-0.061,0.397,60.000,26876.000,1.000
13.570,6.081,4.347,8.141,5.802,1.232,4.117,1.609,-0.091,0.971,-0.245,1.099,-0.244,0.305,60.000,26877.000,1.000
10.827,5.967,2.942,6.228,5.745,2.014,4.058,1.263,-0.090,0.975,-0.247,1.251,-0.366,0.214,60.000,26878.000,1.000
11.226,7.852,4.406,7.019,6.931,2.887,5.241,1.957,-0.088,0.977,-0.245,1.373,-0.549,0.305,60.000,26879.000,1.000
12.161,9.642,5.982,7.556,8.055,3.523,5.913,2.796,-0.085,0.979,-0.242,1.404,-0.641,0.275,60.000,26880.000,1.000
11.246,9.421,5.176,5.418,7.875,3.562,4.454,2.860,-0.085,0.979,-0.243,1.312,-0.793,0.336,60.000,26881.000,1.000
8.907,7.694,2.582,1.555,6.363,2.933,1.659,1.817,-0.083,0.979,-0.246,1.221,-0.763,0.305,60.000,26882.000,1.000
7.028,6.095,0.367,-1.527,4.096,1.602,-0.562,-0.236,-0.083,0.982,-0.245,1.068,-0.763,0.366,60.000,26883.000,1.000
6.031,4.782,-1.008,-3.322,1.188,-0.569,-1.965,-3.095,-0.084,0.983,-0.246,1.007,-0.763,0.397,60.000,26884.000,1.000
4.643,2.454,-3.030,-5.452,-2.452,-3.357,-4.031,-6.220,-0.083,0.985,-0.243,0.946,-0.763,0.336,60.000,26885.000,1.000
2.293,-1.242,-6.312,-8.529,-6.107,-5.909,-7.300,-8.562,-0.081,0.986,-0.246,0.885,-0.793,0.519,60.000,26886.000,1.000
0.353,-4.638,-9.057,-10.561,-8.344,-7.416,-10.036,-9.194,-0.080,0.986,-0.245,0.671,-0.763,0.671,60.000,26887.000,1.000
0.463,-5.860,-9.076,-9.279,-8.316,-7.864,-10.167,-8.153,-0.080,0.989,-0.245,0.458,-0.854,0.610,60.000,26888.000,1.000
2.233,-5.205,-6.661,-5.249,-6.624,-7.829,-7.879,-6.460,-0.080,0.986,-0.245,0.336,-0.732,0.671,60.000,26889.000,1.000
3.480,-4.907,-4.472,-1.536,-4.664,-7.700,-5.428,-5.206,-0.083,0.984,-0.243,0.305,-0.763,0.763,60.000,26890.000,1.000
3.027,-6.274,-4.232,-0.061,-3.105,-7.155,-4.292,-4.537,-0.083,0.979,-0.246,-0.061,-0.763,0.702,60.000,26891.000,1.000
2.541,-7.761,-4.383,0.752,-1.209,-5.363,-3.286,-3.565,-0.082,0.975,-0.245,-0.061,-0.671,0.702,60.000,26892.000,1.000
4.619,-6.840,-2.112,3.723,2.010,-2.066,-0.421,-1.424,-0.082,0.974,-0.246,-0.061,-0.580,0.641,60.000,26893.000,1.000
9.224,-3.501,2.611,8.792,6.039,1.428,3.743,1.576,-0.082,0.971,-0.245,0.000,-0.580,0.549,60.000,26894.000,1.000
13.233,-0.620,6.519,12.635,8.915,2.928,5.984,4.106,-0.079,0.971,-0.247,0.092,-0.610,0.427,60.000,26895.000,1.000
13.911,-0.503,6.919,12.757,9.210,1.302,4.050,5.212,-0.080,0.971,-0.243,0.092,-0.519,0.397,60.000,26896.000,1.000
11.838,-2.163,4.822,10.557,7.481,-2.468,-0.600,5.209,-0.079,0.973,-0.243,0.183,-0.458,0.397,60.000,26897.000,1.000
9.682,-2.776,3.333,9.334,5.473,-6.096,-4.370,5.127,-0.079,0.973,-0.242,0.183,-0.397,0.488,60.000,26898.000,1.000
8.771,-1.238,3.693,10.132,4.267,-7.678,-5.319,5.598,-0.079,0.973,-0.241,0.153,-0.336,0.488,60.000,26899.000,1.000
8.082,0.873,4.257,10.952,3.703,-6.679,-4.442,6.571,-0.079,0.973,-0.242,0.183,-0.366,0.458,60.000,26900.000,1.000
6.732,1.946,3.491,10.122,3.509,-3.586,-3.265,7.949,-0.083,0.973,-0.243,0.214,-0.366,0.488,60.000,26901.000,1.000
6.091,2.716,2.627,8.955,4.200,0.803,-1.527,9.925,-0.083,0.973,-0.244,0.305,-0.336,0.519,60.000,26902.000,1.000
8.378,5.101,4.218,9.954,6.398,5.573,1.846,12.488,-0.081,0.971,-0.244,0.336,-0.336,0.488,60.000,26903.000,1.000
13.709,9.398,8.671,13.179,9.729,9.710,6.335,15.086,-0.083,0.971,-0.244,0.305,-0.305,0.427,60.000,26904.000,1.000
19.617,13.695,13.510,15.889,12.952,12.439,9.657,17.072,-0.083,0.974,-0.246,0.366,-0.275,0.366,60.000,26905.000,1.000
23.574,16.090,16.291,15.939,15.112,13.571,10.166,18.209,-0.081,0.977,-0.244,0.427,-0.366,0.214,60.000,26906.000,1.000
25.236,16.689,17.255,14.383,16.274,13.437,8.721,18.701,-0.080,0.977,-0.242,0.305,-0.275,0.244,60.000,26907.000,1.000
25.786,16.919,18.321,13.876,17.080,12.545,7.555,18.870,-0.080,0.977,-0.242,0.305,-0.214,0.244,60.000,26908.000,1.000
25.611,17.263,19.994,15.047,17.742,11.334,7.551,18.803,-0.083,0.979,-0.240,0.305,-0.275,0.336,60.000,26909.000,1.000
23.692,16.628,20.526,15.745,17.778,10.195,7.548,18.323,-0.083,0.978,-0.243,0.336,-0.214,0.336,60.000,26910.000,1.000
19.640,14.291,18.592,14.224,16.908,9.597,6.562,17.423,-0.082,0.979,-0.241,0.397,-0.305,0.214,60.000,26911.000,1.000
15.372,11.529,15.631,11.875,15.824,9.940,5.671,16.640,-0.082,0.980,-0.242,0.336,-0.275,0.305,60.000,26912.000,1.000
13.495,10.233,14.258,11.501,15.446,11.044,6.644,16.564,-0.080,0.982,-0.241,0.366,-0.305,0.366,60.000,26913.000,1.000
14.133,10.203,14.706,13.401,15.538,11.947,9.133,16.988,-0.081,0.982,-0.242,0.305,-0.336,0.214,60.000,26914.000,1.000
14.639,9.142,14.364,14.847,14.803,11.597,10.558,17.037,-0.083,0.983,-0.239,0.183,-0.366,0.305,60.000,26915.000,1.000
12.811,5.704,11.255,13.755,12.538,9.825,9.135,16.200,-0.083,0.985,-0.242,0.031,-0.336,0.275,60.000,26916.000,1.000
9.323,1.504,6.739,11.363,9.576,7.432,6.029,14.787,-0.082,0.984,-0.241,-0.031,-0.366,0.214,60.000,26917.000,1.000
