EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-0.764,5.240,2.463,1.115,-0.602,-3.115,-6.378,-5.671,-0.092,0.978,-0.231,0.122,-0.092,0.854,60.000,90553.000,1.000
-1.750,4.928,2.941,2.191,0.654,-3.474,-6.437,-5.123,-0.091,0.980,-0.232,0.244,0.000,0.793,60.000,90554.000,1.000
-2.817,3.705,2.473,2.066,1.157,-4.560,-7.526,-5.080,-0.092,0.982,-0.230,0.275,-0.031,0.793,60.000,90555.000,1.000
-3.024,2.272,2.010,2.173,1.197,-5.722,-8.476,-5.227,-0.093,0.981,-0.227,0.305,-0.031,0.763,60.000,90556.000,1.000
-2.139,0.955,2.120,3.425,0.825,-6.595,-8.591,-5.379,-0.092,0.982,-0.227,0.427,-0.031,0.702,60.000,90557.000,1.000
-0.918,-0.344,2.320,4.945,-0.056,-7.064,-8.148,-5.523,-0.093,0.983,-0.229,0.519,0.122,0.702,60.000,90558.000,1.000
-0.249,-1.701,1.817,5.127,-1.367,-7.112,-7.755,-5.698,-0.094,0.981,-0.228,0.488,0.214,0.732,60.000,90559.000,1.000
-0.245,-2.888,0.617,3.608,-2.790,-6.794,-7.573,-5.952,-0.094,0.981,-0.229,0.610,0.153,0.610,60.000,90560.000,1.000
-0.364,-3.581,-0.449,1.606,-4.022,-6.296,-7.314,-6.342,-0.093,0.979,-0.230,0.671,0.061,0.458,60.000,90561.000,1.000
-0.296,-3.691,-0.806,0.315,-4.932,-5.870,-6.738,-6.778,-0.090,0.978,-0.230,0.732,0.031,0.549,60.000,90562.000,1.000
-0.388,-3.346,-0.875,-0.438,-5.466,-5.610,-5.917,-6.931,-0.091,0.979,-0.231,0.854,0.122,0.641,60.000,90563.000,1.000
-1.060,-2.669,-1.480,-1.574,-5.555,-5.422,-5.131,-6.509,-0.089,0.979,-0.231,0.977,0.244,0.702,60.000,90564.000,1.000
-2.071,-1.711,-2.713,-3.171,-5.171,-5.211,-4.568,-5.632,-0.087,0.981,-0.230,0.946,0.244,0.702,60.000,90565.000,1.000
-2.631,-0.553,-3.695,-4.099,-4.364,-4.886,-4.092,-4.675,-0.087,0.980,-0.229,1.038,0.305,0.793,60.000,90566.000,1.000
-2.319,0.575,-3.596,-3.481,-3.278,-4.273,-3.437,-3.851,-0.088,0.980,-0.227,1.068,0.336,0.854,60.000,90567.000,1.000
-1.693,1.219,-2.759,-2.104,-2.305,-3.477,-2.828,-3.251,-0.092,0.978,-0.228,1.007,0.488,0.854,60.000,90568.000,1.000
-1.725,0.907,-2.426,-1.775,-2.082,-3.164,-3.041,-3.180,-0.092,0.974,-0.231,1.007,0.549,0.916,60.000,90569.000,1.000
-2.660,-0.439,-3.320,-3.277,-3.062,-4.075,-4.516,-4.046,-0.097,0.974,-0.230,1.007,0.519,0.916,60.000,90570.000,1.000
-3.771,-2.397,-4.929,-5.564,-5.120,-6.308,-6.733,-5.891,-0.097,0.974,-0.231,1.099,0.458,0.977,60.000,90571.000,1.000
-4.224,-4.311,-6.253,-7.127,-7.606,-9.114,-8.694,-8.159,-0.098,0.976,-0.232,1.282,0.305,0.854,60.000,90572.000,1.000
-3.878,-5.595,-6.863,-7.640,-9.700,-11.214,-9.754,-9.939,-0.098,0.979,-0.232,1.404,0.305,0.793,60.000,90573.000,1.000
-3.168,-5.915,-6.992,-7.843,-10.818,-11.561,-9.854,-10.552,-0.099,0.984,-0.230,1.404,0.214,0.702,60.000,90574.000,1.000
-2.416,-5.316,-6.884,-8.142,-10.923,-10.226,-9.257,-10.018,-0.098,0.986,-0.233,1.373,0.031,0.702,60.000,90575.000,1.000
-1.606,-4.255,-6.513,-8.040,-10.527,-8.454,-8.358,-8.987,-0.098,0.982,-0.233,1.221,-0.092,0.610,60.000,90576.000,1.000
-0.795,-3.347,-5.983,-7.132,-10.248,-7.562,-7.667,-8.222,-0.097,0.981,-0.231,1.129,-0.122,0.580,60.000,90577.000,1.000
-0.362,-2.884,-5.761,-5.973,-10.239,-7.799,-7.629,-8.010,-0.099,0.979,-0.233,1.160,-0.183,0.671,60.000,90578.000,1.000
-0.609,-2.597,-6.149,-5.418,-10.052,-8.299,-8.195,-8.003,-0.099,0.979,-0.232,1.038,-0.275,0.519,60.000,90579.000,1.000
-1.294,-1.965,-6.681,-5.342,-9.105,-7.993,-8.623,-7.632,-0.101,0.981,-0.235,1.190,-0.488,0.427,60.000,90580.000,1.000
-1.796,-0.741,-6.423,-4.638,-7.248,-6.462,-7.951,-6.602,-0.100,0.983,-0.231,1.160,-0.671,0.366,60.000,90581.000,1.000
-1.808,0.828,-5.026,-2.719,-4.887,-4.024,-5.851,-5.020,-0.099,0.985,-0.231,1.099,-0.732,0.366,60.000,90582.000,1.000
-1.728,2.271,-3.269,-0.576,-2.616,-1.263,-2.994,-3.187,-0.098,0.988,-0.231,0.977,-0.702,0.244,60.000,90583.000,1.000
-2.154,3.325,-2.231,0.233,-0.749,1.366,-0.393,-1.330,-0.095,0.988,-0.230,0.916,-0.854,0.336,60.000,90584.000,1.000
-3.025,4.091,-2.060,-0.422,0.806,3.573,1.541,0.495,-0.094,0.990,-0.229,0.702,-0.702,0.305,60.000,90585.000,1.000
-3.590,4.715,-1.927,-1.015,2.173,5.028,2.940,2.138,-0.091,0.992,-0.228,0.488,-0.763,0.305,60.000,90586.000,1.000
-3.280,5.090,-1.225,-0.319,3.138,5.348,3.633,3.148,-0.093,0.991,-0.231,0.397,-0.854,0.336,60.000,90587.000,1.000
-2.227,5.093,-0.262,1.136,3.439,4.542,3.075,3.200,-0.094,0.991,-0.232,0.183,-0.854,0.427,60.000,90588.000,1.000
-0.845,5.035,0.457,2.040,3.304,3.327,1.255,2.662,-0.094,0.990,-0.233,0.122,-0.824,0.549,60.000,90589.000,1.000
