EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
13.366,13.031,18.172,20.068,17.869,18.033,21.439,21.692,-0.121,1.013,0.098,0.183,-0.549,0.671,46.667,174705.000,1.000
14.411,14.238,18.412,18.895,18.462,19.795,22.310,22.527,-0.123,1.013,0.100,0.183,-0.458,0.671,46.667,174706.000,1.000
15.650,15.724,19.478,18.853,19.040,20.636,22.904,23.040,-0.123,1.013,0.097,0.061,-0.397,0.702,46.667,174707.000,1.000
16.829,16.694,20.993,19.544,18.842,19.810,22.395,22.514,-0.123,1.010,0.100,-0.031,-0.275,0.732,46.667,174708.000,1.000
17.377,16.046,21.446,19.874,17.098,17.221,19.644,20.443,-0.122,1.011,0.099,-0.031,-0.366,0.885,46.667,174709.000,1.000
17.547,14.120,20.324,19.149,14.299,13.988,14.958,17.343,-0.125,1.011,0.104,-0.122,-0.305,0.885,46.667,174710.000,1.000
18.470,12.871,19.092,17.674,12.201,12.040,10.768,14.683,-0.125,1.009,0.101,-0.122,-0.336,0.977,46.667,174711.000,1.000
20.810,13.984,19.567,16.253,12.365,12.968,10.046,13.857,-0.127,1.008,0.104,-0.092,-0.183,0.916,46.667,174712.000,1.000
23.522,16.998,21.592,15.174,14.657,16.741,13.631,15.051,-0.126,1.009,0.104,-0.031,-0.214,1.038,46.667,174713.000,1.000
24.507,19.738,23.076,14.007,17.408,21.399,19.377,17.165,-0.126,1.009,0.104,-0.061,-0.244,0.977,46.667,174714.000,1.000
22.562,20.515,22.350,12.423,18.959,24.199,23.934,18.807,-0.125,1.008,0.103,-0.061,-0.214,1.038,46.667,174715.000,1.000
18.219,19.420,19.751,10.792,18.722,23.429,25.020,19.165,-0.125,1.007,0.101,-0.122,-0.275,0.946,46.667,174716.000,1.000
12.772,17.450,16.625,9.728,16.860,19.341,22.207,18.097,-0.126,1.007,0.100,-0.153,-0.397,0.916,46.667,174717.000,1.000
7.089,14.990,13.414,9.208,13.528,13.553,16.350,15.787,-0.126,1.006,0.100,-0.061,-0.397,0.793,46.667,174718.000,1.000
1.574,11.763,9.500,8.541,8.931,7.920,8.983,12.618,-0.125,1.005,0.101,0.031,-0.458,0.671,46.667,174719.000,1.000
-3.034,8.066,4.890,7.346,4.007,3.914,2.226,9.328,-0.125,1.005,0.097,0.122,-0.397,0.732,46.667,174720.000,1.000
-5.374,5.249,1.281,6.370,0.504,2.392,-1.566,7.035,-0.124,1.006,0.094,0.244,-0.397,0.732,46.667,174721.000,1.000
-4.480,4.523,0.729,6.972,-0.086,3.473,-0.904,6.788,-0.125,1.005,0.097,0.275,-0.397,0.702,46.667,174722.000,1.000
-1.043,5.511,3.289,9.570,2.174,6.408,3.687,8.821,-0.125,1.006,0.101,0.427,-0.366,0.763,46.667,174723.000,1.000
2.927,6.556,6.756,12.942,5.645,9.772,9.777,12.188,-0.125,1.007,0.104,0.427,-0.519,0.671,46.667,174724.000,1.000
