EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
9.271,-2.538,-0.825,1.549,-6.033,-8.778,-7.950,-9.149,-0.089,1.015,0.101,0.092,-0.183,0.916,60.000,18457.000,1.000
6.473,-3.984,-2.465,1.257,-6.097,-7.379,-6.921,-8.867,-0.091,1.016,0.102,0.153,-0.275,0.793,60.000,18458.000,1.000
4.647,-5.675,-4.221,1.199,-5.740,-4.929,-5.147,-7.436,-0.090,1.017,0.102,0.183,-0.336,0.702,60.000,18459.000,1.000
3.341,-7.739,-6.452,0.686,-5.440,-2.499,-3.347,-5.614,-0.090,1.015,0.102,0.122,-0.366,0.549,60.000,18460.000,1.000
2.569,-9.133,-8.244,-0.352,-5.362,-0.851,-2.034,-4.273,-0.089,1.013,0.101,0.031,-0.610,0.519,60.000,18461.000,1.000
2.431,-9.212,-8.762,-1.550,-5.859,-0.922,-2.226,-4.187,-0.091,1.010,0.102,0.122,-0.732,0.366,60.000,18462.000,1.000
2.560,-8.491,-8.369,-2.696,-7.323,-3.189,-4.829,-5.610,-0.093,1.010,0.100,0.153,-0.854,0.244,60.000,18463.000,1.000
2.392,-7.570,-7.799,-3.660,-9.206,-6.511,-8.940,-7.696,-0.091,1.008,0.103,0.153,-1.068,0.153,60.000,18464.000,1.000
1.925,-6.016,-6.748,-3.925,-9.793,-8.443,-11.709,-8.698,-0.090,1.009,0.102,0.275,-1.251,0.092,60.000,18465.000,1.000
1.820,-2.945,-4.133,-2.720,-7.535,-7.082,-10.514,-7.165,-0.087,1.010,0.102,0.458,-1.312,0.092,60.000,18466.000,1.000
2.508,1.324,0.065,0.032,-2.722,-2.729,-5.365,-3.191,-0.084,1.010,0.105,0.458,-1.434,0.214,60.000,18467.000,1.000
3.241,4.898,3.927,3.108,2.420,2.279,0.959,1.495,-0.081,1.010,0.104,0.488,-1.526,0.244,60.000,18468.000,1.000
2.526,5.988,5.155,4.748,5.455,5.402,5.225,4.729,-0.083,1.009,0.104,0.519,-1.556,0.427,60.000,18469.000,1.000
-0.304,4.480,3.324,4.072,5.425,5.510,6.019,5.246,-0.081,1.009,0.102,0.488,-1.556,0.458,60.000,18470.000,1.000
-4.383,1.569,0.067,1.636,3.037,3.124,4.037,3.196,-0.081,1.011,0.104,0.519,-1.526,0.671,60.000,18471.000,1.000
-8.267,-1.678,-2.836,-1.305,-0.291,-0.284,0.929,-0.167,-0.081,1.011,0.107,0.610,-1.495,0.610,60.000,18472.000,1.000
-11.002,-4.876,-4.934,-3.795,-3.305,-3.137,-1.852,-3.195,-0.081,1.011,0.104,0.763,-1.343,0.732,60.000,18473.000,1.000
-12.033,-7.577,-6.436,-5.251,-5.025,-4.351,-3.411,-4.527,-0.083,1.010,0.103,0.702,-1.373,0.732,60.000,18474.000,1.000
-10.774,-8.593,-6.769,-5.001,-4.619,-3.558,-3.252,-3.529,-0.082,1.010,0.103,0.885,-1.251,0.641,60.000,18475.000,1.000
-7.053,-6.748,-4.806,-2.611,-1.870,-1.066,-1.338,-0.616,-0.081,1.012,0.099,0.946,-1.190,0.763,60.000,18476.000,1.000
