EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.451,-1.181,-6.789,-1.494,3.445,4.370,9.275,8.180,-0.068,0.956,-0.312,0.885,-0.641,-0.092,73.333,15473.000,1.000
5.261,0.954,-2.776,0.804,6.190,6.659,11.596,9.019,-0.069,0.956,-0.307,0.793,-0.610,-0.122,73.333,15474.000,1.000
10.314,4.851,1.968,4.288,9.039,10.117,13.652,9.625,-0.070,0.958,-0.310,0.854,-0.519,-0.275,73.333,15475.000,1.000
13.897,8.755,5.869,7.599,11.038,13.081,14.789,9.742,-0.072,0.959,-0.309,0.793,-0.244,-0.397,73.333,15476.000,1.000
14.575,10.485,7.215,9.147,11.159,13.810,14.396,9.072,-0.074,0.961,-0.307,0.702,-0.244,-0.366,73.333,15477.000,1.000
11.875,8.687,5.011,8.041,8.845,11.475,12.227,7.390,-0.073,0.961,-0.308,0.580,-0.244,-0.397,73.333,15478.000,1.000
6.382,3.712,-0.511,4.336,4.432,6.674,8.656,4.742,-0.073,0.961,-0.311,0.519,-0.214,-0.336,73.333,15479.000,1.000
-0.395,-2.556,-7.819,-1.047,-0.768,1.227,4.715,1.659,-0.073,0.963,-0.309,0.397,-0.244,-0.366,73.333,15480.000,1.000
-6.231,-7.635,-14.369,-6.307,-4.760,-2.560,1.883,-0.803,-0.074,0.962,-0.308,0.275,-0.153,-0.305,73.333,15481.000,1.000
-9.185,-9.781,-17.761,-9.532,-5.908,-3.114,1.343,-1.655,-0.076,0.962,-0.306,0.275,-0.122,-0.336,73.333,15482.000,1.000
-9.026,-8.964,-17.291,-10.213,-4.116,-0.637,3.026,-0.900,-0.078,0.963,-0.306,0.183,-0.214,-0.397,73.333,15483.000,1.000
-7.290,-6.450,-14.228,-9.597,-0.800,3.166,5.546,0.377,-0.078,0.962,-0.306,0.092,-0.244,-0.366,73.333,15484.000,1.000
-5.831,-3.606,-10.631,-9.323,2.266,6.348,7.262,0.949,-0.079,0.962,-0.309,0.061,-0.427,-0.305,73.333,15485.000,1.000
-5.759,-1.523,-8.282,-10.176,3.846,7.647,7.339,0.300,-0.080,0.962,-0.308,-0.061,-0.519,-0.275,73.333,15486.000,1.000
-7.212,-1.015,-8.017,-11.707,3.682,6.985,6.190,-1.077,-0.082,0.960,-0.304,-0.092,-0.519,-0.183,73.333,15487.000,1.000
-9.261,-1.832,-9.169,-12.273,2.772,5.772,5.333,-1.806,-0.082,0.961,-0.307,-0.061,-0.580,-0.153,73.333,15488.000,1.000
-10.527,-2.492,-10.169,-10.223,2.554,5.725,6.103,-0.719,-0.080,0.959,-0.307,-0.122,-0.702,-0.092,73.333,15489.000,1.000
-10.393,-1.890,-10.237,-5.803,3.243,6.735,8.046,1.745,-0.078,0.958,-0.312,-0.061,-0.732,0.000,73.333,15490.000,1.000
-9.168,-0.282,-9.757,-1.042,3.854,7.198,9.485,4.028,-0.080,0.960,-0.309,0.031,-0.946,0.153,73.333,15491.000,1.000
-7.072,1.818,-8.902,2.536,4.033,6.645,9.764,5.427,-0.082,0.961,-0.309,-0.031,-0.977,0.244,73.333,15492.000,1.000
-4.112,4.155,-7.255,4.805,4.474,6.255,9.676,6.425,-0.081,0.960,-0.308,0.061,-0.977,0.397,73.333,15493.000,1.000
-1.204,5.776,-5.089,5.640,5.405,6.750,9.804,7.247,-0.081,0.960,-0.307,0.031,-1.099,0.458,73.333,15494.000,1.000
-0.135,5.314,-3.625,4.386,6.160,7.575,9.850,7.414,-0.083,0.958,-0.306,0.000,-1.221,0.458,73.333,15495.000,1.000
-1.879,2.805,-3.655,1.016,6.278,7.962,9.326,6.528,-0.081,0.956,-0.303,0.031,-1.160,0.458,73.333,15496.000,1.000
-5.584,0.116,-4.760,-3.306,6.019,7.635,8.085,4.702,-0.080,0.955,-0.306,0.092,-1.282,0.519,73.333,15497.000,1.000
-9.117,-0.676,-5.765,-6.773,5.985,6.806,6.583,2.618,-0.078,0.955,-0.309,0.122,-1.282,0.580,73.333,15498.000,1.000
-10.215,1.194,-5.500,-7.692,6.822,6.267,6.032,1.553,-0.079,0.955,-0.307,0.122,-1.343,0.549,73.333,15499.000,1.000
-7.798,5.082,-3.511,-5.474,8.891,7.260,7.710,2.710,-0.078,0.954,-0.305,0.214,-1.221,0.610,73.333,15500.000,1.000
-2.755,9.923,-0.459,-1.348,11.809,10.586,11.716,6.070,-0.078,0.958,-0.308,0.214,-1.160,0.580,73.333,15501.000,1.000
2.752,15.134,2.470,2.461,14.599,15.935,16.722,10.218,-0.077,0.956,-0.309,0.275,-1.190,0.519,73.333,15502.000,1.000
6.663,20.053,4.441,4.446,16.345,22.065,20.997,13.427,-0.078,0.955,-0.310,0.336,-1.251,0.549,73.333,15503.000,1.000
7.827,22.784,5.075,4.490,16.358,26.709,23.203,14.631,-0.076,0.957,-0.307,0.397,-1.282,0.519,73.333,15504.000,1.000
6.307,21.073,4.241,3.301,14.186,26.998,22.519,13.613,-0.074,0.959,-0.307,0.488,-1.221,0.610,73.333,15505.000,1.000
3.288,14.494,2.206,1.808,10.061,21.519,18.853,10.830,-0.072,0.958,-0.306,0.519,-1.160,0.671,73.333,15506.000,1.000
0.310,4.872,-0.448,0.717,4.967,11.550,12.958,7.043,-0.071,0.959,-0.308,0.580,-1.068,0.671,73.333,15507.000,1.000
-1.645,-4.951,-3.242,0.012,0.054,0.062,6.111,2.898,-0.070,0.958,-0.307,0.519,-0.916,0.549,73.333,15508.000,1.000
-2.257,-12.076,-5.777,-0.780,-3.684,-9.643,-0.271,-1.099,-0.070,0.958,-0.308,0.519,-0.763,0.580,73.333,15509.000,1.000
