EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-1.114,14.323,0.910,8.051,8.494,11.766,6.240,6.283,-0.148,0.970,-0.252,1.282,-4.852,0.824,73.333,4601.000,1.000
-0.090,15.065,2.851,9.714,9.850,13.432,7.813,8.315,-0.147,0.969,-0.250,1.221,-5.035,0.916,73.333,4602.000,1.000
0.574,13.709,2.908,10.096,9.733,11.766,8.676,9.832,-0.145,0.965,-0.252,1.282,-5.219,1.038,73.333,4603.000,1.000
0.225,10.420,0.908,8.757,8.033,7.377,8.259,9.961,-0.142,0.963,-0.255,1.434,-5.371,1.190,73.333,4604.000,1.000
-1.310,6.180,-2.347,5.825,5.500,2.641,6.883,8.458,-0.140,0.964,-0.253,1.465,-5.554,1.404,73.333,4605.000,1.000
-3.302,2.879,-5.351,2.138,3.379,-0.162,5.483,6.022,-0.139,0.967,-0.254,1.587,-5.707,1.465,73.333,4606.000,1.000
-4.862,1.678,-7.202,-1.449,2.173,-0.904,4.431,3.294,-0.139,0.970,-0.253,1.587,-5.676,1.587,73.333,4607.000,1.000
-5.722,2.052,-8.181,-4.548,1.344,-1.010,3.216,0.157,-0.138,0.973,-0.256,1.648,-5.798,1.678,73.333,4608.000,1.000
-6.016,2.826,-8.884,-6.966,0.188,-1.582,1.212,-3.643,-0.136,0.972,-0.252,1.740,-5.859,1.862,73.333,4609.000,1.000
-5.793,3.456,-9.309,-8.364,-1.403,-2.587,-1.525,-7.567,-0.135,0.968,-0.252,1.617,-5.981,1.923,73.333,4610.000,1.000
-5.168,3.752,-9.192,-8.540,-3.178,-3.521,-4.335,-10.444,-0.135,0.965,-0.256,1.617,-5.859,1.984,73.333,4611.000,1.000
-4.578,3.104,-8.766,-7.752,-5.096,-4.343,-6.564,-11.441,-0.135,0.969,-0.258,1.709,-5.920,1.831,73.333,4612.000,1.000
-4.415,0.966,-8.650,-6.467,-7.201,-5.368,-7.836,-10.530,-0.136,0.971,-0.257,1.617,-5.951,1.648,73.333,4613.000,1.000
-4.706,-2.142,-9.319,-5.078,-9.168,-6.380,-8.036,-8.300,-0.139,0.972,-0.255,1.556,-5.981,1.556,73.333,4614.000,1.000
-5.432,-4.846,-10.981,-4.063,-10.484,-6.609,-7.446,-5.766,-0.140,0.972,-0.253,1.495,-6.134,1.404,73.333,4615.000,1.000
-6.791,-6.173,-13.682,-4.028,-11.074,-6.082,-6.845,-4.117,-0.140,0.972,-0.250,1.434,-6.256,1.099,73.333,4616.000,1.000
-8.933,-6.251,-17.166,-5.237,-11.333,-6.075,-7.029,-4.089,-0.141,0.971,-0.251,1.251,-6.409,0.885,73.333,4617.000,1.000
-11.716,-5.866,-20.741,-7.200,-11.522,-7.569,-8.007,-5.396,-0.141,0.972,-0.254,1.221,-6.531,0.732,73.333,4618.000,1.000
