EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.531,-2.865,-2.779,-9.570,-6.527,-1.660,-2.288,-10.016,-0.083,0.933,-0.353,-4.395,0.702,2.686,73.333,217657.000,1.000
-2.801,-6.227,-5.981,-10.767,-9.509,-6.776,-8.061,-12.722,-0.083,0.930,-0.355,-4.181,0.580,2.930,73.333,217658.000,1.000
-5.601,-7.094,-7.424,-10.830,-9.943,-9.591,-11.938,-13.281,-0.083,0.931,-0.354,-3.998,0.488,3.143,73.333,217659.000,1.000
-7.363,-5.313,-7.134,-10.314,-8.006,-9.508,-12.924,-11.905,-0.082,0.933,-0.354,-3.632,0.458,3.235,73.333,217660.000,1.000
-8.131,-2.050,-5.831,-9.706,-4.826,-7.007,-10.972,-9.304,-0.083,0.936,-0.356,-3.357,0.397,3.418,73.333,217661.000,1.000
-8.273,0.770,-4.424,-9.060,-1.926,-3.426,-7.094,-6.321,-0.084,0.937,-0.358,-3.143,0.275,3.540,73.333,217662.000,1.000
-7.766,1.923,-3.259,-7.997,-0.215,0.047,-2.763,-3.558,-0.081,0.940,-0.359,-2.930,0.275,3.387,73.333,217663.000,1.000
-5.863,1.924,-1.782,-5.832,0.620,3.093,1.087,-1.005,-0.078,0.939,-0.358,-2.747,0.153,3.540,73.333,217664.000,1.000
-2.169,2.069,0.446,-2.411,1.286,5.719,4.134,1.559,-0.075,0.943,-0.360,-2.594,0.214,3.510,73.333,217665.000,1.000
2.226,2.838,2.677,1.155,1.805,7.659,6.089,3.826,-0.071,0.944,-0.358,-2.411,0.397,3.479,73.333,217666.000,1.000
5.491,3.812,3.627,3.282,1.833,8.732,6.827,5.212,-0.068,0.944,-0.356,-2.319,0.397,3.479,73.333,217667.000,1.000
6.629,4.514,2.806,3.242,1.414,8.899,6.645,5.516,-0.062,0.940,-0.354,-2.289,0.641,3.448,73.333,217668.000,1.000
5.911,4.817,0.793,1.525,0.956,7.941,5.925,4.888,-0.059,0.939,-0.357,-2.045,0.763,3.510,73.333,217669.000,1.000
4.160,4.676,-1.497,-0.772,0.810,5.813,4.846,3.531,-0.058,0.938,-0.357,-1.831,0.977,3.510,73.333,217670.000,1.000
2.079,3.933,-3.435,-2.777,1.091,3.110,3.544,1.759,-0.058,0.936,-0.355,-1.587,1.343,3.357,73.333,217671.000,1.000
0.203,2.689,-4.726,-4.136,1.805,0.958,2.366,0.201,-0.058,0.933,-0.352,-1.343,1.526,3.265,73.333,217672.000,1.000
-0.892,1.477,-5.156,-4.673,2.991,0.570,1.903,-0.274,-0.059,0.934,-0.352,-1.099,1.678,3.204,73.333,217673.000,1.000
-0.629,0.815,-4.473,-4.060,4.666,2.471,2.719,0.991,-0.061,0.936,-0.352,-0.977,1.831,3.082,73.333,217674.000,1.000
