EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-18.235,-12.939,-14.267,-13.864,-10.617,-12.517,-8.597,-11.442,-0.198,0.951,-0.282,1.068,-2.594,1.495,73.333,7177.000,1.000
-16.793,-16.100,-14.584,-12.899,-12.717,-15.965,-11.090,-12.240,-0.198,0.952,-0.282,0.946,-2.411,1.373,73.333,7178.000,1.000
-11.346,-14.328,-11.538,-8.433,-11.098,-14.341,-10.605,-10.093,-0.198,0.955,-0.281,0.885,-2.625,1.221,73.333,7179.000,1.000
-2.444,-7.635,-5.260,-1.998,-5.613,-7.809,-6.631,-5.235,-0.198,0.958,-0.279,0.763,-2.655,1.099,73.333,7180.000,1.000
7.993,2.348,3.004,4.132,2.546,2.187,0.141,1.303,-0.199,0.954,-0.277,0.549,-2.808,0.977,73.333,7181.000,1.000
17.234,12.284,10.917,8.022,10.749,12.372,7.505,7.778,-0.200,0.953,-0.281,0.610,-2.869,0.916,73.333,7182.000,1.000
22.644,17.832,15.651,8.711,15.689,18.143,12.456,12.258,-0.201,0.954,-0.280,0.580,-2.899,0.977,73.333,7183.000,1.000
22.699,16.093,15.301,6.389,15.267,16.506,13.058,13.577,-0.202,0.953,-0.283,0.549,-2.991,0.885,73.333,7184.000,1.000
17.496,7.573,9.965,2.155,9.969,8.532,9.709,11.816,-0.203,0.953,-0.282,0.458,-3.021,0.977,73.333,7185.000,1.000
8.750,-4.054,1.746,-2.347,2.595,-1.262,4.824,8.158,-0.203,0.950,-0.281,0.397,-3.052,0.946,73.333,7186.000,1.000
-0.787,-14.047,-6.294,-5.430,-3.420,-7.956,1.194,4.337,-0.201,0.950,-0.281,0.397,-3.265,1.007,73.333,7187.000,1.000
-8.456,-19.251,-11.643,-5.971,-5.946,-9.199,0.222,1.768,-0.201,0.949,-0.281,0.488,-3.357,1.221,73.333,7188.000,1.000
-12.426,-19.118,-13.015,-3.548,-4.714,-5.634,1.678,1.070,-0.200,0.949,-0.281,0.458,-3.387,1.282,73.333,7189.000,1.000
-12.052,-14.995,-10.327,1.546,-0.706,0.526,4.600,2.120,-0.199,0.950,-0.279,0.610,-3.479,1.465,73.333,7190.000,1.000
-8.426,-9.419,-4.961,7.890,4.215,6.445,7.691,4.032,-0.199,0.951,-0.281,0.732,-3.357,1.587,73.333,7191.000,1.000
-3.980,-5.042,0.648,13.284,7.948,9.634,9.626,5.518,-0.201,0.953,-0.279,0.610,-3.296,1.740,73.333,7192.000,1.000
-0.772,-2.892,4.555,16.210,9.484,9.579,9.940,5.908,-0.200,0.954,-0.280,0.641,-3.357,1.831,73.333,7193.000,1.000
0.566,-2.041,6.207,16.704,9.385,7.985,9.290,5.618,-0.201,0.953,-0.279,0.702,-3.418,1.892,73.333,7194.000,1.000
0.381,-1.038,6.004,15.747,8.909,7.260,8.699,5.511,-0.199,0.952,-0.281,0.610,-3.418,2.167,73.333,7195.000,1.000
-0.627,0.856,4.734,14.204,9.046,9.029,8.799,6.068,-0.200,0.950,-0.281,0.702,-3.510,2.197,73.333,7196.000,1.000
-1.530,3.560,3.429,12.665,10.131,13.075,9.607,7.265,-0.199,0.950,-0.276,0.610,-3.479,2.289,73.333,7197.000,1.000
-1.423,6.728,3.148,11.812,11.965,17.393,10.822,8.948,-0.196,0.949,-0.277,0.671,-3.326,2.319,73.333,7198.000,1.000
-0.190,9.963,4.332,12.101,14.027,19.850,12.159,10.906,-0.194,0.948,-0.275,0.732,-3.387,2.228,73.333,7199.000,1.000
