EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-9.951,6.431,-1.534,-3.269,1.183,4.016,-0.667,-2.035,-0.153,0.956,-0.281,0.336,0.000,-0.305,73.333,13913.000,1.000
-8.384,6.902,0.366,0.496,3.337,5.443,1.186,1.043,-0.154,0.957,-0.277,0.427,-0.061,-0.183,73.333,13914.000,1.000
-6.459,6.815,2.238,4.058,5.049,6.564,2.941,3.594,-0.154,0.956,-0.281,0.519,-0.244,-0.092,73.333,13915.000,1.000
-4.131,6.849,4.242,6.742,6.676,7.951,4.637,5.266,-0.152,0.956,-0.277,0.671,-0.366,0.000,73.333,13916.000,1.000
-1.361,7.571,6.529,8.476,8.718,10.230,6.542,6.247,-0.154,0.955,-0.280,0.702,-0.427,0.214,73.333,13917.000,1.000
1.625,8.859,8.891,9.509,11.144,13.109,8.673,6.821,-0.155,0.954,-0.279,0.824,-0.427,0.275,73.333,13918.000,1.000
4.426,9.981,10.819,10.036,13.271,15.445,10.664,7.109,-0.156,0.954,-0.275,0.854,-0.519,0.427,73.333,13919.000,1.000
6.723,10.277,11.880,10.035,14.333,16.339,12.097,7.138,-0.158,0.955,-0.274,1.038,-0.732,0.519,73.333,13920.000,1.000
8.204,9.549,11.831,9.295,14.002,15.799,12.769,6.949,-0.159,0.957,-0.274,1.160,-0.763,0.641,73.333,13921.000,1.000
8.371,8.051,10.534,7.654,12.522,14.547,12.751,6.666,-0.158,0.954,-0.276,1.038,-0.854,0.641,73.333,13922.000,1.000
6.675,6.242,7.945,5.122,10.404,13.272,12.132,6.345,-0.158,0.957,-0.279,1.190,-1.099,0.763,73.333,13923.000,1.000
3.036,4.423,4.268,1.883,8.043,12.033,10.847,5.843,-0.156,0.958,-0.279,1.221,-1.221,0.977,73.333,13924.000,1.000
-1.865,2.598,0.068,-1.609,5.606,10.387,8.806,4.885,-0.155,0.958,-0.280,1.251,-1.160,1.038,73.333,13925.000,1.000
-6.878,0.615,-3.884,-4.634,3.106,7.881,5.957,3.147,-0.152,0.959,-0.276,1.221,-1.282,1.038,73.333,13926.000,1.000
-10.769,-1.555,-6.748,-6.340,0.651,4.508,2.473,0.616,-0.152,0.959,-0.279,1.190,-1.404,1.129,73.333,13927.000,1.000
-12.489,-3.629,-7.718,-6.006,-1.340,0.959,-0.969,-2.079,-0.149,0.960,-0.277,1.312,-1.404,1.129,73.333,13928.000,1.000
-11.578,-5.109,-6.409,-3.514,-2.318,-1.628,-3.385,-3.982,-0.147,0.963,-0.277,1.129,-1.465,1.129,73.333,13929.000,1.000
-8.460,-5.556,-3.216,0.387,-1.978,-2.314,-4.034,-4.444,-0.146,0.963,-0.278,0.977,-1.495,1.099,73.333,13930.000,1.000
-4.181,-4.796,0.902,4.455,-0.407,-0.945,-2.800,-3.449,-0.143,0.962,-0.279,0.977,-1.465,1.099,73.333,13931.000,1.000
0.170,-2.842,4.997,7.627,2.023,1.863,-0.193,-1.483,-0.142,0.962,-0.277,0.916,-1.404,1.099,73.333,13932.000,1.000
3.830,0.260,8.449,9.376,4.766,5.213,2.939,0.794,-0.141,0.963,-0.279,0.793,-1.190,1.007,73.333,13933.000,1.000
6.489,4.261,10.978,9.755,7.200,8.228,5.739,2.836,-0.142,0.962,-0.280,0.824,-1.129,0.854,73.333,13934.000,1.000
8.428,8.662,12.710,9.388,8.926,10.251,7.647,4.374,-0.140,0.963,-0.280,0.824,-0.977,0.793,73.333,13935.000,1.000
10.459,13.008,14.208,9.206,10.036,11.215,8.706,5.514,-0.139,0.962,-0.281,0.671,-0.885,0.671,73.333,13936.000,1.000
13.239,16.934,15.957,9.699,10.787,11.568,9.346,6.505,-0.140,0.961,-0.281,0.580,-0.732,0.549,73.333,13937.000,1.000
16.338,19.651,17.484,10.225,10.833,11.408,9.484,7.054,-0.140,0.960,-0.281,0.671,-0.580,0.427,73.333,13938.000,1.000
18.191,19.788,17.273,9.308,9.120,9.999,8.229,6.120,-0.140,0.959,-0.283,0.519,-0.519,0.214,73.333,13939.000,1.000
17.289,16.327,14.028,5.927,4.948,6.606,4.963,2.922,-0.142,0.959,-0.280,0.641,-0.366,0.122,73.333,13940.000,1.000
13.598,9.885,8.198,0.707,-0.818,1.754,0.558,-1.822,-0.141,0.959,-0.281,0.519,-0.214,0.092,73.333,13941.000,1.000
8.619,2.628,1.953,-4.272,-5.966,-2.803,-3.028,-6.133,-0.142,0.959,-0.279,0.458,-0.153,-0.092,73.333,13942.000,1.000
3.976,-3.343,-2.573,-7.143,-8.669,-5.556,-4.550,-8.485,-0.145,0.960,-0.279,0.488,-0.183,-0.183,73.333,13943.000,1.000
0.419,-7.152,-4.619,-7.624,-8.722,-6.305,-4.438,-8.923,-0.147,0.959,-0.279,0.458,-0.122,-0.244,73.333,13944.000,1.000
-1.835,-8.752,-4.563,-6.762,-7.161,-5.743,-3.940,-8.530,-0.148,0.958,-0.278,0.519,0.031,-0.275,73.333,13945.000,1.000
-2.654,-8.361,-3.250,-5.933,-5.348,-4.720,-4.016,-8.420,-0.150,0.957,-0.278,0.641,0.092,-0.275,73.333,13946.000,1.000
-2.068,-6.543,-1.679,-6.029,-4.377,-3.909,-4.974,-9.162,-0.150,0.959,-0.277,0.671,0.122,-0.366,73.333,13947.000,1.000
-0.424,-4.259,-0.733,-7.075,-4.672,-3.541,-6.448,-10.632,-0.152,0.957,-0.276,0.671,0.183,-0.488,73.333,13948.000,1.000
1.437,-2.643,-1.062,-8.595,-5.979,-3.462,-7.714,-12.330,-0.155,0.958,-0.280,0.763,0.061,-0.305,73.333,13949.000,1.000
2.046,-2.773,-3.170,-10.370,-7.860,-3.614,-8.340,-13.865,-0.156,0.958,-0.278,0.854,-0.092,-0.244,73.333,13950.000,1.000
-0.100,-5.279,-7.227,-12.570,-10.090,-4.221,-8.486,-15.089,-0.157,0.957,-0.277,0.885,-0.061,-0.153,73.333,13951.000,1.000
-5.408,-9.834,-12.693,-15.305,-12.566,-5.446,-8.601,-15.988,-0.157,0.958,-0.276,0.854,-0.061,-0.092,73.333,13952.000,1.000
-12.646,-15.032,-18.273,-18.257,-14.933,-7.014,-8.828,-16.517,-0.157,0.957,-0.277,0.916,-0.244,0.092,73.333,13953.000,1.000
