EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-16.282,-16.365,-7.300,-19.299,-18.166,-19.163,-20.321,-18.362,-0.058,0.965,-0.285,0.702,-0.336,0.671,73.333,110129.000,1.000
-18.328,-18.293,-8.733,-22.895,-21.003,-21.545,-24.317,-22.172,-0.057,0.968,-0.286,0.702,-0.183,0.641,73.333,110130.000,1.000
-18.019,-20.973,-8.209,-22.905,-22.605,-22.328,-26.435,-23.949,-0.058,0.969,-0.282,0.641,-0.092,0.702,73.333,110131.000,1.000
-16.582,-24.360,-6.761,-20.713,-23.634,-22.169,-27.166,-24.352,-0.058,0.969,-0.283,0.641,0.000,0.702,73.333,110132.000,1.000
-16.253,-28.386,-6.232,-19.044,-25.277,-22.754,-27.706,-24.599,-0.059,0.972,-0.286,0.610,0.000,0.732,73.333,110133.000,1.000
-18.448,-32.441,-7.787,-19.930,-28.159,-25.427,-28.974,-25.384,-0.059,0.971,-0.283,0.549,0.092,0.824,73.333,110134.000,1.000
-21.355,-33.974,-9.757,-22.004,-30.415,-28.376,-29.596,-25.291,-0.060,0.969,-0.283,0.397,0.214,0.671,73.333,110135.000,1.000
-21.026,-29.914,-8.640,-21.438,-28.699,-27.440,-26.552,-21.657,-0.062,0.970,-0.284,0.397,0.122,0.732,73.333,110136.000,1.000
-15.062,-19.909,-2.680,-15.752,-21.515,-20.160,-18.354,-13.482,-0.063,0.969,-0.285,0.366,0.214,0.763,73.333,110137.000,1.000
-4.466,-6.959,6.539,-5.808,-10.649,-7.745,-6.752,-2.750,-0.062,0.965,-0.285,0.397,0.244,0.854,73.333,110138.000,1.000
7.251,4.744,15.433,5.177,0.209,6.031,4.453,6.955,-0.064,0.964,-0.282,0.427,0.183,0.916,73.333,110139.000,1.000
15.907,11.713,20.446,13.472,7.495,16.593,11.633,12.668,-0.062,0.963,-0.281,0.397,0.153,0.977,73.333,110140.000,1.000
18.114,11.681,19.231,15.972,8.876,19.988,12.735,13.071,-0.062,0.963,-0.284,0.305,0.214,1.129,73.333,110141.000,1.000
12.499,4.243,11.243,11.205,3.877,14.710,7.761,8.380,-0.063,0.965,-0.282,0.305,0.031,1.099,73.333,110142.000,1.000
0.945,-7.927,-1.464,0.765,-5.398,3.322,-1.004,0.379,-0.062,0.963,-0.282,0.244,0.061,1.129,73.333,110143.000,1.000
-11.755,-19.821,-14.632,-10.809,-14.890,-8.974,-9.848,-7.897,-0.061,0.963,-0.281,0.305,0.000,1.068,73.333,110144.000,1.000
-20.667,-27.252,-24.271,-18.811,-21.064,-18.059,-15.835,-13.693,-0.063,0.963,-0.281,0.275,-0.061,1.221,73.333,110145.000,1.000
-23.385,-28.877,-28.714,-21.061,-22.730,-22.491,-18.164,-15.895,-0.064,0.960,-0.283,0.397,-0.092,1.404,73.333,110146.000,1.000
-20.598,-25.755,-28.752,-18.380,-20.828,-22.606,-17.693,-15.138,-0.062,0.962,-0.282,0.366,-0.183,1.404,73.333,110147.000,1.000
-15.314,-20.554,-26.835,-13.690,-17.570,-19.899,-16.151,-13.367,-0.061,0.961,-0.280,0.488,-0.214,1.434,73.333,110148.000,1.000
-11.211,-16.788,-25.848,-10.332,-15.490,-16.822,-15.506,-12.845,-0.060,0.963,-0.278,0.549,-0.336,1.495,73.333,110149.000,1.000
-10.281,-16.784,-27.218,-9.830,-15.805,-15.346,-16.595,-14.347,-0.061,0.966,-0.281,0.519,-0.458,1.373,73.333,110150.000,1.000
-11.672,-19.824,-29.791,-10.957,-17.387,-15.376,-18.189,-16.296,-0.062,0.967,-0.281,0.549,-0.427,1.495,73.333,110151.000,1.000
-12.912,-22.920,-31.026,-11.167,-17.914,-15.378,-18.186,-16.282,-0.057,0.967,-0.283,0.519,-0.488,1.373,73.333,110152.000,1.000
-12.111,-23.300,-29.161,-8.835,-15.921,-14.021,-15.596,-13.245,-0.057,0.968,-0.284,0.488,-0.305,1.404,73.333,110153.000,1.000
-9.234,-20.168,-24.408,-4.516,-11.712,-10.751,-11.037,-8.172,-0.058,0.969,-0.284,0.427,-0.244,1.373,73.333,110154.000,1.000
-5.910,-14.996,-18.772,-0.592,-7.081,-6.020,-6.187,-3.443,-0.057,0.969,-0.282,0.458,-0.183,1.251,73.333,110155.000,1.000
-4.539,-10.856,-15.104,0.069,-4.723,-2.061,-3.529,-1.902,-0.058,0.970,-0.283,0.427,-0.183,1.160,73.333,110156.000,1.000
-7.146,-10.904,-15.834,-4.312,-7.055,-2.271,-5.472,-5.541,-0.057,0.972,-0.281,0.366,-0.214,1.129,73.333,110157.000,1.000
-13.851,-15.957,-21.148,-12.863,-14.087,-7.971,-12.080,-13.611,-0.058,0.970,-0.280,0.305,-0.183,1.099,73.333,110158.000,1.000
-22.008,-23.201,-28.037,-21.694,-22.416,-16.216,-19.935,-22.205,-0.057,0.969,-0.281,0.275,-0.092,1.129,73.333,110159.000,1.000
-27.525,-27.968,-31.998,-26.010,-27.236,-21.800,-24.339,-26.690,-0.058,0.967,-0.283,0.305,-0.061,1.007,73.333,110160.000,1.000
-27.380,-26.978,-29.945,-23.149,-25.551,-21.036,-22.582,-24.660,-0.056,0.968,-0.284,0.305,0.031,0.916,73.333,110161.000,1.000
-21.375,-20.289,-22.088,-14.137,-17.886,-14.074,-15.327,-17.011,-0.058,0.967,-0.284,0.427,0.092,0.824,73.333,110162.000,1.000
-12.394,-10.943,-11.799,-3.177,-7.807,-4.629,-5.835,-7.152,-0.056,0.968,-0.282,0.458,0.092,0.732,73.333,110163.000,1.000
-4.798,-2.946,-3.549,4.779,0.403,2.963,2.264,1.083,-0.056,0.968,-0.280,0.519,0.122,0.702,73.333,110164.000,1.000
-1.664,0.868,-0.283,7.073,4.326,6.938,7.027,5.549,-0.058,0.969,-0.279,0.549,0.214,0.641,73.333,110165.000,1.000
-2.868,0.215,-1.840,4.824,4.343,8.355,8.602,6.452,-0.059,0.969,-0.281,0.519,0.183,0.671,73.333,110166.000,1.000
-5.579,-3.040,-5.568,1.711,2.499,8.643,8.185,5.456,-0.057,0.968,-0.281,0.427,0.305,0.732,73.333,110167.000,1.000
-7.267,-7.200,-9.076,0.410,0.173,7.468,6.480,3.816,-0.058,0.966,-0.280,0.519,0.214,0.793,73.333,110168.000,1.000
-8.116,-11.910,-12.323,0.035,-3.003,3.292,3.074,1.237,-0.060,0.966,-0.282,0.549,0.244,0.793,73.333,110169.000,1.000
-9.790,-16.708,-16.324,-1.975,-7.571,-4.051,-2.302,-2.944,-0.059,0.966,-0.280,0.763,0.183,0.854,73.333,110170.000,1.000
-13.078,-20.449,-20.992,-6.568,-12.713,-12.204,-8.546,-8.142,-0.061,0.966,-0.282,0.732,0.183,0.763,73.333,110171.000,1.000
-17.790,-23.080,-25.609,-12.963,-17.234,-18.358,-14.076,-13.149,-0.061,0.966,-0.283,0.763,0.061,0.793,73.333,110172.000,1.000
-23.325,-25.896,-29.884,-19.858,-20.849,-21.639,-18.293,-17.470,-0.062,0.965,-0.283,0.763,0.061,0.824,73.333,110173.000,1.000
-28.081,-29.113,-33.217,-25.281,-23.515,-22.733,-21.344,-20.966,-0.063,0.965,-0.283,0.763,0.000,0.763,73.333,110174.000,1.000
-29.569,-30.818,-34.139,-26.773,-24.445,-22.181,-22.928,-22.820,-0.064,0.964,-0.282,0.854,-0.061,0.824,73.333,110175.000,1.000
-26.412,-29.102,-31.622,-23.336,-22.820,-20.107,-22.144,-21.798,-0.062,0.965,-0.282,0.824,-0.275,0.854,73.333,110176.000,1.000
-19.715,-24.134,-26.399,-16.601,-18.843,-16.743,-18.366,-17.402,-0.060,0.967,-0.284,0.916,-0.366,0.854,73.333,110177.000,1.000
-11.835,-17.560,-20.118,-9.208,-13.355,-11.969,-11.860,-10.357,-0.058,0.966,-0.285,0.946,-0.519,0.824,73.333,110178.000,1.000
-4.632,-11.023,-13.975,-2.822,-7.246,-5.652,-3.996,-2.387,-0.058,0.966,-0.285,0.793,-0.488,0.824,73.333,110179.000,1.000
0.629,-5.988,-8.917,1.738,-1.845,0.615,2.833,4.225,-0.058,0.966,-0.285,0.854,-0.488,0.977,73.333,110180.000,1.000
3.017,-3.490,-5.888,3.845,1.263,3.954,6.306,7.604,-0.056,0.966,-0.283,0.916,-0.519,0.977,73.333,110181.000,1.000
2.563,-3.250,-5.000,3.519,1.551,3.071,5.768,7.389,-0.057,0.967,-0.281,0.946,-0.458,0.977,73.333,110182.000,1.000
0.540,-3.996,-5.195,1.797,-0.073,-0.713,2.409,4.736,-0.059,0.964,-0.283,1.007,-0.610,1.007,73.333,110183.000,1.000
-1.339,-4.688,-5.178,-0.009,-2.301,-5.010,-1.969,1.265,-0.059,0.962,-0.284,1.007,-0.580,1.068,73.333,110184.000,1.000
-1.778,-4.845,-4.287,-1.051,-4.131,-7.705,-5.774,-1.778,-0.057,0.961,-0.281,1.038,-0.580,1.038,73.333,110185.000,1.000
-0.347,-4.407,-2.580,-1.102,-4.978,-7.663,-7.888,-3.797,-0.057,0.960,-0.284,1.068,-0.549,0.977,73.333,110186.000,1.000
2.392,-3.734,-0.644,-0.492,-4.840,-5.455,-8.065,-4.829,-0.056,0.959,-0.285,1.160,-0.458,0.854,73.333,110187.000,1.000
5.270,-3.304,0.920,0.292,-4.145,-2.963,-6.861,-5.098,-0.055,0.963,-0.288,1.312,-0.519,0.793,73.333,110188.000,1.000
7.357,-3.134,2.185,1.274,-3.122,-1.605,-4.817,-4.471,-0.052,0.966,-0.287,1.251,-0.488,0.793,73.333,110189.000,1.000
8.541,-2.649,3.946,3.135,-1.501,-1.114,-1.974,-2.565,-0.051,0.967,-0.287,1.160,-0.427,0.763,73.333,110190.000,1.000
8.865,-1.622,6.595,5.994,0.651,-0.435,1.321,0.283,-0.053,0.967,-0.287,1.221,-0.427,0.702,73.333,110191.000,1.000
7.593,-1.183,8.999,8.170,2.025,0.227,3.513,2.420,-0.053,0.967,-0.285,1.099,-0.305,0.488,73.333,110192.000,1.000
4.062,-2.801,9.531,7.486,1.034,-0.639,2.827,2.134,-0.055,0.969,-0.286,1.038,-0.366,0.336,73.333,110193.000,1.000
-0.913,-6.203,8.015,3.729,-2.265,-3.433,-0.712,-0.604,-0.056,0.971,-0.286,1.007,-0.336,0.275,73.333,110194.000,1.000
-5.459,-9.510,5.746,-1.209,-6.094,-6.477,-5.092,-4.188,-0.058,0.976,-0.287,0.854,-0.214,0.031,73.333,110195.000,1.000
-8.007,-11.335,4.233,-5.008,-8.528,-7.924,-7.994,-6.686,-0.057,0.977,-0.294,0.702,-0.122,-0.061,73.333,110196.000,1.000
-7.716,-11.374,4.583,-5.908,-8.439,-7.185,-8.063,-6.776,-0.059,0.977,-0.289,0.580,-0.092,-0.122,73.333,110197.000,1.000
-4.511,-9.383,7.324,-3.181,-5.558,-4.471,-5.213,-4.244,-0.060,0.976,-0.288,0.488,-0.275,-0.183,73.333,110198.000,1.000
0.323,-5.508,11.664,2.034,-0.902,-0.676,-0.869,-0.402,-0.061,0.975,-0.288,0.336,-0.122,-0.305,73.333,110199.000,1.000
3.925,-1.779,15.012,6.549,2.881,2.056,2.175,2.085,-0.062,0.974,-0.287,0.244,-0.244,-0.305,73.333,110200.000,1.000
3.436,-1.443,14.505,7.031,2.922,1.578,1.387,0.821,-0.060,0.974,-0.287,0.153,-0.214,-0.305,73.333,110201.000,1.000
-1.208,-5.422,9.940,3.111,-1.009,-1.470,-2.987,-3.903,-0.060,0.971,-0.285,0.183,-0.305,-0.214,73.333,110202.000,1.000
-6.622,-10.486,4.579,-1.893,-5.697,-3.586,-7.592,-8.744,-0.059,0.970,-0.285,0.122,-0.336,-0.031,73.333,110203.000,1.000
-9.194,-12.558,1.921,-4.372,-7.719,-2.433,-9.101,-10.370,-0.061,0.968,-0.283,0.000,-0.336,0.061,73.333,110204.000,1.000
-8.057,-10.553,2.616,-3.600,-6.498,0.627,-6.988,-8.242,-0.062,0.968,-0.281,0.000,-0.305,0.183,73.333,110205.000,1.000
-4.117,-5.491,5.665,-0.622,-3.142,3.400,-2.531,-3.657,-0.062,0.966,-0.283,0.153,-0.305,0.427,73.333,110206.000,1.000
1.786,1.850,10.473,3.845,1.674,6.016,3.100,2.132,-0.062,0.964,-0.285,0.183,-0.427,0.549,73.333,110207.000,1.000
8.375,10.018,16.216,8.929,7.083,9.401,8.609,7.698,-0.060,0.964,-0.284,0.244,-0.427,0.580,73.333,110208.000,1.000
13.529,15.608,21.054,12.967,11.092,12.520,12.124,11.167,-0.063,0.965,-0.282,0.366,-0.488,0.793,73.333,110209.000,1.000
15.453,15.324,23.010,14.306,11.579,12.742,12.006,11.136,-0.064,0.966,-0.284,0.397,-0.549,0.946,73.333,110210.000,1.000
13.771,9.191,21.313,12.282,7.973,8.686,8.004,7.604,-0.063,0.965,-0.284,0.458,-0.580,1.038,73.333,110211.000,1.000
9.984,1.252,17.249,8.086,2.246,2.463,2.086,2.416,-0.065,0.966,-0.281,0.488,-0.824,1.068,73.333,110212.000,1.000
6.643,-3.403,13.504,4.325,-2.210,-1.630,-2.443,-1.651,-0.065,0.966,-0.281,0.397,-0.763,1.099,73.333,110213.000,1.000
5.439,-2.372,12.126,2.956,-3.231,-1.077,-3.455,-2.863,-0.062,0.962,-0.281,0.549,-0.885,1.099,73.333,110214.000,1.000
6.472,3.300,13.465,4.158,-1.016,2.950,-1.262,-1.330,-0.059,0.961,-0.281,0.458,-0.946,1.160,73.333,110215.000,1.000
9.027,10.632,16.774,6.975,2.840,7.498,2.391,1.775,-0.058,0.962,-0.284,0.610,-0.977,1.160,73.333,110216.000,1.000
12.292,16.439,20.950,10.212,6.610,10.347,5.821,5.103,-0.059,0.961,-0.284,0.610,-1.068,0.977,73.333,110217.000,1.000
15.296,18.683,24.748,12.746,8.971,10.540,7.890,7.443,-0.057,0.962,-0.283,0.732,-1.160,0.946,73.333,110218.000,1.000
16.816,16.994,26.940,13.673,9.222,8.167,7.989,7.989,-0.055,0.963,-0.282,0.610,-1.099,0.885,73.333,110219.000,1.000
16.124,12.641,26.915,12.765,7.725,4.694,6.452,6.890,-0.055,0.962,-0.281,0.610,-1.007,0.824,73.333,110220.000,1.000
13.659,7.996,25.078,10.622,5.716,2.266,4.418,5.055,-0.054,0.963,-0.282,0.580,-0.977,0.671,73.333,110221.000,1.000
10.337,4.936,22.084,7.902,3.971,1.594,2.518,2.981,-0.055,0.966,-0.283,0.610,-0.946,0.610,73.333,110222.000,1.000
6.443,3.305,17.997,4.615,1.988,1.211,0.236,0.311,-0.055,0.968,-0.281,0.549,-0.793,0.549,73.333,110223.000,1.000
1.787,1.382,12.708,0.536,-1.101,-0.683,-2.991,-3.239,-0.057,0.967,-0.281,0.488,-0.732,0.397,73.333,110224.000,1.000
-3.329,-2.017,6.813,-3.900,-5.239,-4.309,-6.780,-7.202,-0.054,0.966,-0.283,0.366,-0.671,0.427,73.333,110225.000,1.000
-7.923,-6.206,1.586,-7.598,-9.527,-8.522,-10.323,-10.887,-0.054,0.966,-0.283,0.366,-0.519,0.305,73.333,110226.000,1.000
-11.030,-8.908,-1.756,-9.707,-12.869,-11.617,-13.030,-13.831,-0.055,0.966,-0.282,0.366,-0.488,0.214,73.333,110227.000,1.000
-12.251,-7.705,-2.528,-10.215,-14.231,-11.796,-14.353,-15.440,-0.054,0.968,-0.280,0.336,-0.305,0.183,73.333,110228.000,1.000
-11.985,-2.826,-0.985,-9.848,-13.359,-8.971,-13.956,-15.028,-0.056,0.967,-0.281,0.305,-0.183,0.183,73.333,110229.000,1.000
-11.244,1.645,1.534,-9.416,-11.302,-5.780,-12.119,-12.453,-0.057,0.965,-0.283,0.214,0.000,0.244,73.333,110230.000,1.000
-10.885,1.373,3.575,-9.044,-9.378,-5.119,-9.499,-8.358,-0.056,0.966,-0.281,0.336,-0.061,0.397,73.333,110231.000,1.000
-11.021,-3.984,4.489,-8.161,-8.014,-7.482,-6.779,-3.912,-0.059,0.964,-0.282,0.275,0.031,0.397,73.333,110232.000,1.000
-10.931,-10.828,4.628,-6.062,-6.654,-10.773,-4.274,-0.094,-0.063,0.963,-0.282,0.397,0.031,0.427,73.333,110233.000,1.000
-9.071,-14.091,5.437,-2.068,-3.978,-11.276,-1.324,3.164,-0.062,0.964,-0.283,0.549,0.000,0.610,73.333,110234.000,1.000
-3.978,-9.975,8.679,4.068,1.173,-6.034,3.043,6.568,-0.061,0.964,-0.283,0.671,0.000,0.732,73.333,110235.000,1.000
3.721,1.059,14.465,11.038,8.002,3.848,8.217,9.834,-0.061,0.967,-0.284,0.793,-0.092,0.793,73.333,110236.000,1.000
10.885,13.742,20.494,16.182,13.625,13.260,11.980,11.513,-0.062,0.969,-0.284,0.885,-0.031,0.854,73.333,110237.000,1.000
14.110,21.635,23.837,17.482,15.417,17.417,12.708,10.673,-0.062,0.971,-0.284,0.916,-0.031,0.916,73.333,110238.000,1.000
11.927,21.479,22.911,14.775,12.899,15.318,10.597,7.786,-0.061,0.972,-0.284,0.977,0.000,0.854,73.333,110239.000,1.000
5.182,14.569,17.933,9.301,7.599,9.419,6.999,4.141,-0.060,0.973,-0.281,0.916,-0.092,0.916,73.333,110240.000,1.000
-3.894,5.097,10.416,2.737,1.796,3.398,3.341,0.965,-0.060,0.972,-0.283,0.946,-0.061,0.977,73.333,110241.000,1.000
-13.031,-2.776,2.211,-3.588,-2.859,-0.254,0.315,-1.270,-0.061,0.971,-0.286,0.916,0.000,1.160,73.333,110242.000,1.000
-20.625,-7.168,-5.171,-8.892,-6.079,-1.944,-2.385,-2.933,-0.061,0.973,-0.282,0.916,-0.153,1.099,73.333,110243.000,1.000
-25.561,-8.803,-10.539,-12.548,-8.455,-4.108,-5.333,-4.547,-0.062,0.974,-0.283,0.977,-0.031,1.129,73.333,110244.000,1.000
-26.951,-9.275,-12.856,-13.825,-10.167,-7.882,-8.103,-5.919,-0.060,0.971,-0.282,0.977,-0.061,1.099,73.333,110245.000,1.000
-24.344,-9.109,-11.386,-12.124,-10.428,-11.607,-9.107,-5.930,-0.060,0.967,-0.284,0.946,-0.153,1.038,73.333,110246.000,1.000
-18.248,-7.971,-6.409,-7.581,-8.475,-13.090,-7.092,-3.492,-0.058,0.961,-0.284,0.916,-0.092,1.099,73.333,110247.000,1.000
-10.303,-5.753,0.463,-1.369,-4.678,-11.775,-2.492,1.193,-0.056,0.958,-0.286,1.038,-0.031,1.099,73.333,110248.000,1.000
-2.457,-2.388,7.274,5.017,-0.187,-8.218,3.018,6.682,-0.053,0.962,-0.289,1.221,-0.061,1.068,73.333,110249.000,1.000
3.915,2.212,12.717,10.549,3.854,-3.193,7.684,11.264,-0.054,0.969,-0.288,1.404,0.061,0.977,73.333,110250.000,1.000
7.573,6.747,15.655,14.118,6.043,1.681,9.966,13.413,-0.053,0.975,-0.287,1.526,0.183,0.977,73.333,110251.000,1.000
7.019,8.230,14.612,13.997,4.739,3.852,8.876,12.194,-0.052,0.975,-0.287,1.343,0.336,0.824,73.333,110252.000,1.000
2.007,4.854,9.249,9.422,-0.176,2.231,5.225,8.323,-0.050,0.972,-0.287,1.007,0.549,0.702,73.333,110253.000,1.000
-5.241,-1.514,1.714,2.205,-6.234,-0.968,1.732,4.203,-0.049,0.969,-0.286,1.007,0.641,0.702,73.333,110254.000,1.000
-11.682,-7.188,-4.985,-4.646,-10.454,-2.682,0.590,1.849,-0.050,0.969,-0.288,0.977,0.885,0.671,73.333,110255.000,1.000
-15.640,-10.179,-9.232,-9.275,-11.919,-2.573,1.416,1.201,-0.055,0.969,-0.288,0.977,0.977,0.580,73.333,110256.000,1.000
-16.537,-10.685,-10.689,-11.089,-11.379,-2.495,2.387,1.009,-0.060,0.974,-0.284,0.885,0.946,0.427,73.333,110257.000,1.000
-13.823,-9.424,-9.204,-9.891,-9.536,-3.588,2.359,0.464,-0.063,0.973,-0.285,0.763,0.946,0.397,73.333,110258.000,1.000
-7.426,-6.800,-4.898,-6.034,-6.672,-5.262,1.313,-0.489,-0.062,0.970,-0.287,0.610,0.946,0.305,73.333,110259.000,1.000
1.572,-2.676,1.445,-0.533,-2.906,-5.978,-0.018,-1.334,-0.063,0.964,-0.286,0.610,0.854,0.183,73.333,110260.000,1.000
11.236,3.383,8.691,5.561,1.765,-4.319,-0.440,-1.126,-0.063,0.963,-0.285,0.671,0.793,0.061,73.333,110261.000,1.000
19.094,10.538,15.220,11.112,6.781,-0.268,0.720,0.609,-0.065,0.961,-0.281,0.702,0.641,-0.092,73.333,110262.000,1.000
22.545,15.962,18.782,14.460,10.469,4.132,2.624,3.019,-0.064,0.962,-0.281,0.732,0.549,-0.183,73.333,110263.000,1.000
20.283,16.875,17.731,14.291,11.104,6.124,3.588,4.589,-0.065,0.961,-0.280,0.854,0.427,-0.244,73.333,110264.000,1.000
13.587,13.061,12.597,11.123,8.659,4.765,2.831,4.605,-0.064,0.960,-0.281,0.946,0.336,-0.244,73.333,110265.000,1.000
5.869,7.084,6.155,7.249,5.093,1.825,1.200,3.693,-0.065,0.960,-0.283,1.007,0.244,-0.122,73.333,110266.000,1.000
0.420,1.934,1.410,4.836,2.625,-0.329,0.038,2.918,-0.065,0.964,-0.282,1.038,0.092,-0.092,73.333,110267.000,1.000
-1.724,-1.287,-0.547,4.246,1.924,-1.033,-0.277,2.629,-0.065,0.961,-0.281,1.099,0.061,0.031,73.333,110268.000,1.000
-1.655,-3.033,-0.495,4.315,2.236,-1.005,-0.335,2.351,-0.064,0.962,-0.286,1.251,-0.122,0.336,73.333,110269.000,1.000
-0.696,-3.527,0.516,3.958,2.800,-0.999,-0.539,1.674,-0.067,0.962,-0.285,1.343,-0.244,0.458,73.333,110270.000,1.000
1.142,-1.909,2.505,3.617,3.963,-0.932,-0.066,1.432,-0.067,0.962,-0.284,1.312,-0.336,0.702,73.333,110271.000,1.000
5.229,3.155,6.571,5.374,7.208,0.598,3.014,3.782,-0.066,0.963,-0.284,1.495,-0.427,0.824,73.333,110272.000,1.000
12.750,12.085,13.506,11.168,13.779,5.382,10.071,10.391,-0.064,0.966,-0.284,1.495,-0.671,1.038,73.333,110273.000,1.000
22.671,23.270,22.168,20.426,22.886,13.445,20.045,20.365,-0.062,0.966,-0.283,1.526,-0.763,1.160,73.333,110274.000,1.000
31.417,33.145,29.260,29.621,31.432,22.167,29.437,30.160,-0.063,0.969,-0.283,1.495,-0.793,1.312,73.333,110275.000,1.000
35.156,38.046,31.454,34.712,35.951,28.018,34.501,35.787,-0.063,0.970,-0.288,1.404,-1.007,1.404,73.333,110276.000,1.000
32.648,36.685,27.962,34.172,35.030,29.087,33.707,35.396,-0.060,0.971,-0.286,1.312,-1.007,1.434,73.333,110277.000,1.000
25.675,30.723,20.789,29.399,29.844,25.839,28.390,30.140,-0.057,0.972,-0.283,1.129,-1.099,1.465,73.333,110278.000,1.000
16.966,22.951,12.686,22.690,22.773,20.106,21.483,23.004,-0.053,0.976,-0.284,0.732,-1.282,1.617,73.333,110279.000,1.000
8.233,15.297,5.154,15.493,15.798,13.887,15.414,16.682,-0.047,0.975,-0.288,0.305,-1.251,1.770,73.333,110280.000,1.000
0.200,8.487,-1.559,8.427,9.906,8.536,10.916,12.162,-0.044,0.971,-0.289,-0.122,-1.129,2.045,73.333,110281.000,1.000
-6.115,3.036,-7.166,2.334,5.514,4.421,7.751,9.121,-0.042,0.969,-0.286,-0.519,-0.946,2.014,73.333,110282.000,1.000
-9.057,0.016,-10.702,-1.331,2.990,1.354,5.704,7.100,-0.040,0.965,-0.288,-0.824,-0.732,1.831,73.333,110283.000,1.000
-7.618,0.512,-11.277,-1.509,2.468,-0.711,4.515,5.843,-0.035,0.959,-0.289,-0.946,-0.397,1.526,73.333,110284.000,1.000
-2.922,3.999,-9.447,1.004,3.137,-1.940,3.402,4.600,-0.036,0.955,-0.292,-0.702,0.000,1.160,73.333,110285.000,1.000
1.522,7.296,-7.798,3.069,2.848,-3.476,0.876,1.731,-0.033,0.952,-0.297,-0.488,0.519,0.671,73.333,110286.000,1.000
1.744,6.343,-9.479,1.024,-0.652,-6.748,-4.374,-4.130,-0.035,0.951,-0.298,-0.092,0.977,0.183,73.333,110287.000,1.000
-3.414,-0.170,-15.229,-5.925,-7.424,-11.660,-11.951,-12.401,-0.043,0.951,-0.293,0.397,1.282,-0.488,73.333,110288.000,1.000
-11.207,-9.554,-22.342,-14.636,-14.899,-16.624,-19.621,-20.555,-0.049,0.951,-0.291,0.824,1.709,-1.068,73.333,110289.000,1.000
-17.066,-16.958,-26.717,-20.429,-19.541,-19.770,-24.402,-25.414,-0.050,0.955,-0.288,1.221,1.953,-1.617,73.333,110290.000,1.000
-17.327,-17.935,-25.278,-19.920,-18.542,-19.204,-23.652,-24.554,-0.054,0.959,-0.287,1.587,2.075,-1.953,73.333,110291.000,1.000
-11.104,-10.747,-17.532,-12.596,-11.176,-13.720,-16.540,-17.741,-0.055,0.967,-0.286,1.740,2.106,-2.258,73.333,110292.000,1.000
-0.533,2.718,-5.693,-0.780,0.747,-3.983,-4.813,-7.101,-0.059,0.972,-0.284,1.953,2.167,-2.563,73.333,110293.000,1.000
10.875,17.996,6.828,11.959,13.952,7.697,8.316,4.437,-0.062,0.973,-0.281,2.045,2.136,-2.716,73.333,110294.000,1.000
20.317,30.197,17.075,22.613,25.226,18.569,19.843,14.631,-0.065,0.977,-0.280,2.106,2.045,-2.594,73.333,110295.000,1.000
26.716,36.280,23.463,29.604,32.499,26.511,27.916,22.371,-0.067,0.977,-0.277,2.014,1.984,-2.533,73.333,110296.000,1.000
30.310,36.053,25.818,32.690,35.229,30.595,31.992,27.313,-0.067,0.977,-0.278,1.862,1.740,-2.380,73.333,110297.000,1.000
31.488,31.263,24.763,32.302,33.965,30.882,32.317,29.163,-0.067,0.978,-0.279,1.892,1.495,-2.228,73.333,110298.000,1.000
29.986,23.893,20.938,28.751,29.390,27.613,29.100,27.261,-0.070,0.975,-0.278,1.923,1.465,-1.862,73.333,110299.000,1.000
25.153,15.250,14.717,22.081,21.952,20.957,22.373,21.127,-0.071,0.976,-0.277,1.801,1.221,-1.617,73.333,110300.000,1.000
17.189,6.575,7.046,13.018,12.650,11.969,12.932,11.722,-0.071,0.976,-0.278,1.770,1.007,-1.312,73.333,110301.000,1.000
8.105,-0.178,0.092,3.784,3.618,3.060,2.965,1.772,-0.072,0.975,-0.278,1.678,0.793,-0.916,73.333,110302.000,1.000
1.099,-3.059,-3.568,-2.581,-2.653,-3.216,-4.800,-5.620,-0.075,0.971,-0.278,1.740,0.427,-0.549,73.333,110303.000,1.000
-1.291,-1.572,-2.453,-3.930,-4.704,-5.776,-8.488,-8.625,-0.076,0.970,-0.281,1.892,0.061,-0.275,73.333,110304.000,1.000
1.227,2.941,2.820,-0.541,-2.825,-5.301,-7.875,-7.310,-0.073,0.969,-0.281,1.831,-0.092,-0.061,73.333,110305.000,1.000
6.455,8.117,9.711,4.789,1.126,-3.221,-4.444,-3.428,-0.072,0.968,-0.282,1.740,-0.397,0.122,73.333,110306.000,1.000
